,Weight(Pounds)
0,112.9925
1,136.4873
2,153.0269
3,142.3354
4,144.2971
5,123.3024
6,141.4947
7,136.4623
8,112.3723
9,120.6672
10,127.4516
11,114.143
12,125.6107
13,122.4618
14,116.0866
15,139.9975
16,129.5023
17,142.9733
18,137.9025
19,124.0449
20,141.2807
21,143.5392
22,97.90191
23,129.5027
24,141.8501
25,129.7244
26,142.4235
27,131.5502
28,108.3324
29,113.8922
30,103.3016
31,120.7536
32,125.7886
33,136.2225
34,140.1015
35,128.7487
36,141.7994
37,121.2319
38,131.3478
39,106.7115
40,124.3598
41,124.8591
42,139.6711
43,137.3696
44,106.4499
45,128.7639
46,145.6837
47,116.819
48,143.6215
49,134.9325
50,147.0219
51,126.3285
52,125.4839
53,115.7084
54,123.4892
55,147.8926
56,155.8987
57,128.0742
58,119.3701
59,133.8148
60,128.7325
61,137.5453
62,129.7604
63,128.824
64,135.3165
65,109.6113
66,142.4684
67,132.749
68,103.5275
69,124.7299
70,129.3137
71,134.0175
72,140.3969
73,102.8351
74,128.5214
75,120.2991
76,138.6036
77,132.9574
78,115.6233
79,122.524
80,134.6254
81,121.8986
82,155.3767
83,128.9418
84,129.1013
85,139.4733
86,140.8901
87,131.5916
88,121.1232
89,131.5127
90,136.5479
91,141.4896
92,140.6104
93,112.1413
94,133.457
95,131.8001
96,120.0285
97,123.0972
98,128.1432
99,115.4759
100,102.0927
101,130.353
102,134.1842
103,98.64133
104,114.5599
105,123.4917
106,123.048
107,126.4772
108,128.417
109,127.1941
110,122.0562
111,127.6064
112,131.6423
113,111.8955
114,122.039
115,128.5547
116,132.6792
117,136.0632
118,115.9403
119,136.9041
120,119.8804
121,109.0055
122,128.2705
123,135.2913
124,106.8558
125,123.2939
126,109.5143
127,119.3087
128,140.2402
129,133.9841
130,132.5807
131,130.6988
132,115.5637
133,123.7941
134,128.1427
135,135.9646
136,116.6273
137,126.8241
138,151.3913
139,130.4022
140,136.2068
141,113.3989
142,125.3287
143,127.5846
144,107.1564
145,116.4588
146,133.8402
147,112.8901
148,130.7568
149,137.7571
150,125.4036
151,138.4659
152,120.8184
153,140.1539
154,136.7397
155,106.1139
156,158.9562
157,108.7868
158,138.7758
159,115.9136
160,146.2922
161,109.8765
162,139.0499
163,119.9001
164,128.3069
165,127.2428
166,115.2306
167,124.7975
168,126.9511
169,111.2711
170,122.6089
171,124.2084
172,124.6453
173,119.5169
174,139.2983
175,104.8265
176,123.0424
177,118.8923
178,121.4939
179,119.2488
180,135.0239
181,116.228
182,109.1731
183,124.2237
184,141.1645
185,129.1501
186,127.8693
187,120.9244
188,127.6466
189,101.4693
190,144.9927
191,110.9523
192,132.8625
193,146.3385
194,145.5894
195,120.8431
196,115.7813
197,128.3019
198,127.4718
199,127.8761
200,121.4997
201,112.7148
202,135.002
203,128.6789
204,124.4062
205,140.026
206,117.519
207,143.8737
208,141.1703
209,155.9414
210,134.0093
211,130.0975
212,106.2265
213,112.0489
214,136.1884
215,131.236
216,131.3231
217,119.5261
218,116.9965
219,138.5255
220,109.6518
221,130.1569
222,137.1114
223,113.759
224,114.9725
225,127.7149
226,121.9972
227,117.9607
228,127.7141
229,117.9619
230,125.1554
231,141.1026
232,145.4822
233,116.065
234,135.7458
235,132.9248
236,115.6622
237,114.3184
238,148.952
239,142.1878
240,134.104
241,141.8926
242,138.7444
243,134.449
244,117.0167
245,115.6752
246,134.7905
247,120.5746
248,120.0835
249,84.3598
250,138.9394
251,143.5245
252,123.1347
253,115.5261
254,120.9844
255,120.6473
256,124.0352
257,117.2238
258,127.9598
259,116.7527
260,121.9957
261,123.9952
262,108.855
263,104.6574
264,132.248
265,127.1834
266,125.1209
267,133.322
268,122.3364
269,130.2636
270,116.7431
271,125.8534
272,100.627
273,118.4945
274,137.1255
275,118.6991
276,124.1641
277,124.9442
278,126.3889
279,121.5255
280,133.2951
281,127.4072
282,125.08
283,102.8114
284,134.2212
285,100.9758
286,145.8886
287,155.3046
288,138.7175
289,116.2611
290,120.6087
291,114.4083
292,133.3406
293,92.74955
294,131.7825
295,118.3865
296,131.1466
297,130.2033
298,129.1836
299,143.1445
300,138.7307
301,130.9528
302,124.3032
303,135.3702
304,124.1988
305,111.2389
306,129.4037
307,127.7444
308,121.3311
309,118.2183
310,123.3441
311,151.9118
